,Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+,Cloud contamination?
32,32.0,05 35 15.61 -05 24 03.0,2.0,1.0,4490.0,5.17,0.7,1.0,2.504,0.035,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.0108,0.00216,11.63,-10.0,,,10.191,0.032,,,,,,,,,,,9.48,0.04,9.17,0.05,,,,,,,,D,,yes
37,37.0,05 34 26.26 -06 46 09.3,0.0,1.0,4450.0,5.39,0.962,2.0,2.953,0.024,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00072,0.000144,0.558,-10.0,12.777,0.021,12.145,0.033,11.963,0.018,11.837,0.023,11.865,0.022,,,,,,,,,,,,,,,,,,
38,38.0,05 35 17.98 -06 04 43.0,3.0,4.0,4610.0,4.69,0.000118,2.0,2.572,0.016,F17,0.992,0.0751,,0.0,0.0,0.0,0.0,0.000635,0.000127,0.648,-10.0,11.189,0.019,10.583,0.03,10.409,0.02,10.338,0.023,10.4,0.02,,,,,,,,,,,,,,,,,,
39,39.0,05 35 29.92 -06 44 15.1,0.0,1.0,5870.0,5.26,0.0329,2.0,1.844,0.032,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000685,0.000137,1.361,-10.0,12.58,0.019,11.896,0.03,11.624,0.016,11.475,0.023,11.462,0.02,,,,,,,,,,,,,,,,,,
42,42.0,05 37 01.0 -07 35 46.9,0.0,1.0,3150.0,5.16,0.318,2.0,12.602,0.031,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000785,0.000157,0.033,-10.0,,,,,,,10.199,0.023,10.042,0.021,9.888,0.065,,,,,,,,,,,,,,,,
43,43.0,05 37 11.61 -07 23 23.9,0.0,1.0,5060.0,4.64,7.49e-05,2.0,2.517,0.013,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00069,0.000138,0.736,-10.0,10.82,0.019,10.455,0.021,10.385,0.019,10.298,0.024,10.348,0.021,9.781,0.061,,,,,,,,,,,,,,,,
44,44.0,05 38 01.6 -07 22 21.8,0.0,1.0,5080.0,5.0,7.16e-05,1.0,4.417,0.065,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00075,0.00015,0.26,-10.0,10.499,0.017,10.009,0.022,9.916,0.022,9.86,0.023,9.921,0.02,9.305,0.045,,,,,,,,,,,,,,,,
46,46.0,05 40 55.3 -08 13 16.9,0.0,1.0,5450.0,5.28,0.137,1.0,3.013,0.014,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00067,0.000134,0.499,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47.0,05 41 15.24 -07 52 11.1,0.0,1.0,4660.0,4.89,0.00029,2.0,2.943,0.019,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00066,0.000132,0.515,-10.0,12.235,0.019,11.656,0.025,11.529,0.022,11.452,0.023,11.499,0.022,,,,,,,,,,,,,,,,,,
48,48.0,05 41 30.37 -09 12 26.8,0.0,1.0,4040.0,5.09,0.138,2.0,4.464,0.026,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00071,0.000142,0.241,-10.0,12.283,0.019,11.567,0.02,11.377,0.019,11.281,0.024,11.204,0.021,,,,,,,,,,,,,,,,,,
58,58.0,05 33 51.3 -04 51 47.7,0.0,1.0,6590.0,4.52,0.232,1.0,0.857,0.077,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00072,0.000144,6.622,-10.0,13.298,0.023,12.362,0.028,11.967,0.021,11.693,0.024,11.579,0.023,,,,,,,,,,,,,,,,,,
65,65.0,05 36 50.78 -04 59 33.4,3.0,1.0,5860.0,5.1,0.0579,1.0,3.556,0.028,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00064,0.000128,0.342,-10.0,9.877,0.017,9.531,0.028,9.486,0.018,9.478,0.023,9.518,0.019,,,,,,,,,,,,,,,,,,
99,98.0,05 35 06.828 -05 10 38.53,3.0,2.0,3030.0,5.1,0.141,1.0,2.465,0.043,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00071,0.000142,0.789,-10.0,12.595,0.019,11.895,0.03,11.6,0.021,11.452,0.098,11.174,0.055,,,,,,,,,,,,,,,,,,
116,112.0,05 35 25.4 -05 51 08.64,0.0,1.0,6220.0,3.92,0.13,1.0,2.626,0.021,K16,1.0,-10.0,0.00141,-0.089,0.02,-0.071,0.02,0.00147,7e-05,1.44,0.07,8.874,0.017,8.692,0.031,8.369,0.021,7.29,0.037,6.286,0.027,4.001,0.017,2.509,0.028,,,,,,,,,,,,,,
132,126.0,05 35 42.84 -05 51 36.8,0.0,1.0,6500.0,4.38,0.326,1.0,1.647,0.067,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000695,0.000139,1.731,-10.0,13.096,0.019,12.179,0.03,11.744,0.016,11.48,0.023,11.322,0.024,,,,,,,,,,,,,,,,,,
